ibbis_flag,ibbis_max_similarity,ibbis_fragments_flagged,n_fragments,order_id,label,label_name,target_segment,coverage,mutation_rate
ALERT,1.0,14,14,H1N-HIG-0022,7,suspicious_high,H1N1_NP_segment,0.825,0.0
CLEAR,0.0,0,1,BEN-0008,0,benign,none,0.0,0.0
CLEAR,0.1471,0,1,BEN-0024,0,benign,none,0.0,0.0
ALERT,0.5128,1,6,H1N-PAR-0018,9,suspicious_partial,H1N1_NP_segment,0.308,0.095
CLEAR,0.4032,0,7,H1N-PAR-0017,9,suspicious_partial,H1N1_NP_segment,0.405,0.101
ALERT,1.0,16,17,H1N-HIG-0008,1,suspicious_high,H1N1_HA_segment,0.863,0.013
CLEAR,0.4043,0,5,BEN-0005,0,benign,none,0.0,0.0
CLEAR,0.4271,0,6,H1N-PAR-0016,9,suspicious_partial,H1N1_NP_segment,0.297,0.09
CLEAR,0.2857,0,3,BEN-0031,0,benign,none,0.0,0.0
ALERT,0.5724,1,7,H1N-PAR-0021,9,suspicious_partial,H1N1_NP_segment,0.389,0.109
CLEAR,0.3061,0,5,BEN-0090,0,benign,none,0.0,0.0
ALERT,0.8045,13,19,H1N-HIG-0006,1,suspicious_high,H1N1_HA_segment,0.947,0.02
CLEAR,0.4475,0,7,H1N-PAR-0022,6,suspicious_partial,H1N1_NA_segment,0.43,0.123
CLEAR,0.0256,0,2,BEN-0030,0,benign,none,0.0,0.0
CLEAR,0.0278,0,2,BEN-0056,0,benign,none,0.0,0.0
ALERT,1.0,14,14,H1N-HIG-0029,4,suspicious_high,H1N1_NA_segment,0.9,0.008
CLEAR,0.0476,0,1,BEN-0099,0,benign,none,0.0,0.0
ALERT,0.9439,5,8,H1N-MED-0017,5,suspicious_medium,H1N1_NA_segment,0.549,0.055
CLEAR,0.0,0,2,BEN-0117,0,benign,none,0.0,0.0
ALERT,1.0,14,14,H1N-HIG-0009,7,suspicious_high,H1N1_NP_segment,0.897,0.003
CLEAR,0.037,0,5,BEN-0139,0,benign,none,0.0,0.0
ALERT,0.6744,2,9,H1N-PAR-0009,3,suspicious_partial,H1N1_HA_segment,0.42,0.081
CLEAR,0.3418,0,10,H1N-PAR-0021,3,suspicious_partial,H1N1_HA_segment,0.422,0.124
ALERT,1.0,15,17,H1N-HIG-0022,1,suspicious_high,H1N1_HA_segment,0.81,0.018
CLEAR,0.0323,0,3,BEN-0136,0,benign,none,0.0,0.0
ALERT,1.0,12,12,H1N-HIG-0016,7,suspicious_high,H1N1_NP_segment,0.868,0.012
ALERT,1.0,13,13,H1N-HIG-0018,7,suspicious_high,H1N1_NP_segment,0.922,0.016
ALERT,0.6792,2,11,H1N-MED-0003,5,suspicious_medium,H1N1_NA_segment,0.658,0.071
ALERT,0.7019,4,9,H1N-MED-0015,8,suspicious_medium,H1N1_NP_segment,0.71,0.056
ALERT,0.7987,10,14,H1N-MED-0015,2,suspicious_medium,H1N1_HA_segment,0.629,0.041
CLEAR,0.4574,0,7,H1N-PAR-0025,6,suspicious_partial,H1N1_NA_segment,0.387,0.126
CLEAR,0.3409,0,6,H1N-PAR-0010,6,suspicious_partial,H1N1_NA_segment,0.328,0.109
CLEAR,0.4643,0,6,H1N-PAR-0029,9,suspicious_partial,H1N1_NP_segment,0.366,0.106
CLEAR,0.2222,0,3,BEN-0001,0,benign,none,0.0,0.0
ALERT,1.0,19,19,H1N-HIG-0023,1,suspicious_high,H1N1_HA_segment,0.932,0.005
CLEAR,0.0455,0,2,BEN-0011,0,benign,none,0.0,0.0
