coverage,contiguity,risk_score,flag,n_fragments,best_match_accession,order_id,true_label,true_label_name
0.8738,0.8738,0.8927,ALERT,14,AF116575,H1N-HIG-0022,7,suspicious_high
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0008,0,benign
0.0377,0.0,0.0339,CLEAR,1,AF116575,BEN-0024,0,benign
0.4,0.4,0.43,REVIEW,6,AF116575,H1N-PAR-0018,9,suspicious_partial
0.473,0.4385,0.495,REVIEW,7,AF116575,H1N-PAR-0017,9,suspicious_partial
0.9885,0.9885,0.9902,ALERT,17,AF116575,H1N-HIG-0008,1,suspicious_high
0.1128,0.0284,0.1413,CLEAR,5,AF250356,BEN-0005,0,benign
0.4172,0.4172,0.4446,REVIEW,6,AF116575,H1N-PAR-0016,9,suspicious_partial
0.0721,0.0279,0.0908,CLEAR,3,AF116575,BEN-0031,0,benign
0.45,0.4082,0.4729,REVIEW,7,AF116575,H1N-PAR-0021,9,suspicious_partial
0.032,0.032,0.1022,CLEAR,5,AF116575,BEN-0090,0,benign
0.9975,0.9975,0.9979,ALERT,19,AF116575,H1N-HIG-0006,1,suspicious_high
0.4638,0.4021,0.4777,REVIEW,7,AF250356,H1N-PAR-0022,6,suspicious_partial
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0030,0,benign
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0056,0,benign
0.9397,0.9397,0.9488,ALERT,14,AF250356,H1N-HIG-0029,4,suspicious_high
0.0238,0.0238,0.0352,CLEAR,1,AF116575,BEN-0099,0,benign
0.5574,0.5574,0.5938,REVIEW,8,AF250356,H1N-MED-0017,5,suspicious_medium
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0117,0,benign
0.9631,0.9631,0.9686,ALERT,14,AF116575,H1N-HIG-0009,7,suspicious_high
0.0539,0.0213,0.1094,CLEAR,5,AF250356,BEN-0139,0,benign
0.6582,0.6582,0.6945,ALERT,9,AF116575,H1N-PAR-0009,3,suspicious_partial
0.6943,0.3541,0.6211,ALERT,10,AF116575,H1N-PAR-0021,3,suspicious_partial
0.9984,0.9959,0.9977,ALERT,17,AF116575,H1N-HIG-0022,1,suspicious_high
0.0,0.0,0.045,CLEAR,3,AF117241,BEN-0136,0,benign
0.9443,0.9443,0.9526,ALERT,12,AF116575,H1N-HIG-0016,7,suspicious_high
0.9738,0.9738,0.9777,ALERT,13,AF116575,H1N-HIG-0018,7,suspicious_high
0.6858,0.6858,0.7329,ALERT,11,AF250356,H1N-MED-0003,5,suspicious_medium
0.7287,0.7287,0.7544,ALERT,9,AF116575,H1N-MED-0015,8,suspicious_medium
0.9705,0.9705,0.9749,ALERT,14,AF116575,H1N-MED-0015,2,suspicious_medium
0.4369,0.1567,0.3783,REVIEW,7,AF250356,H1N-PAR-0025,6,suspicious_partial
0.356,0.1794,0.3308,CLEAR,6,AF250356,H1N-PAR-0010,6,suspicious_partial
0.4189,0.1754,0.3608,REVIEW,6,AF116575,H1N-PAR-0029,9,suspicious_partial
0.0697,0.0328,0.0913,CLEAR,3,AF116575,BEN-0001,0,benign
0.9992,0.9787,0.9921,ALERT,19,AF116575,H1N-HIG-0023,1,suspicious_high
0.0,0.0,0.03,CLEAR,2,AF117241,BEN-0011,0,benign
0.041,0.0213,0.103,CLEAR,5,AF116575,BEN-0103,0,benign
0.0745,0.066,0.1353,CLEAR,5,AF250356,BEN-0143,0,benign
0.0,0.0,0.015,CLEAR,1,AF117241,BEN-0020,0,benign
0.4844,0.1672,0.4357,REVIEW,9,AF116575,H1N-PAR-0008,3,suspicious_partial
0.0227,0.0,0.0563,CLEAR,3,AF250356,BEN-0089,0,benign
0.0298,0.0,0.0599,CLEAR,3,AF250356,BEN-0126,0,benign
0.6049,0.4574,0.5975,REVIEW,9,AF116575,H1N-PAR-0019,3,suspicious_partial
0.6115,0.3631,0.5528,REVIEW,8,AF116575,H1N-PAR-0018,3,suspicious_partial
0.3475,0.0615,0.2553,CLEAR,4,AF116575,H1N-PAR-0010,9,suspicious_partial
0.6902,0.6902,0.7366,ALERT,10,AF116575,H1N-PAR-0005,3,suspicious_partial
0.4279,0.4279,0.4537,REVIEW,6,AF116575,H1N-PAR-0015,3,suspicious_partial
